Age,Nationality,Potential,Club,Value,Special,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Work Rate,Body Type,Position,Height,Weight,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes
2,59,2,239,1,3,0,1.0,3.0,3.0,8,2,16,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,3,4,4,4,3,4,5,4,5,4,5,4,4,4,3,3,4,4,4,4,3,4,4,4,4,1,1,1,1,1
3,137,2,110,1,3,1,1.0,3.0,2.0,8,5,17,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,2,3,3,2,3,4,4,4,4,4,4,3,4,4,4,2,4,4,3,3,2,4,4,4,4,1,1,1,1,1
3,77,2,200,1,3,1,1.0,3.0,3.0,1,2,12,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,3,3,3,4,5,5,5,4,4,4,5,4,4,4,3,1,4,3,4,4,2,1,1,1,1,1,1,1
1,112,3,555,1,2,1,1.0,4.0,3.0,8,2,11,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,3,3,3,3,3,3,2,2,2,3,3,4,4,4,4,4,3,2,2,4,4,4,4,4,4,4,4,3,4,4,3,1,4,3,4,3,1,2,1,1,1,1,1,1
1,77,4,17,1,1,1,1.0,2.0,3.0,2,5,25,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,3,3,3,3,3,2,2,2,2,2,3,4,3,4,3,4,2,3,3,4,4,4,4,4,3,4,4,3,4,3,2,1,4,3,3,3,1,1,1,1,1,1,1,1
3,20,1,433,1,3,1,1.0,3.0,2.0,8,5,9,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,3,4,3,3,4,4,4,4,3,4,4,3,4,4,4,3,3,4,3,4,4,4,4,4,4,1,1,1,1,1
1,107,2,426,1,3,1,1.0,4.0,3.0,8,8,18,2,1,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,3,2,4,3,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,3,4,3,4,4,3,3,1,1,1,1,1
3,31,1,313,1,2,1,1.0,3.0,2.0,8,5,16,2,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,2,3,4,1,3,2,2,3,3,4,4,4,4,4,3,4,5,4,1,4,4,3,3,2,3,3,4,4,1,1,1,1,1
3,55,2,206,1,4,1,2.0,3.0,3.0,3,2,2,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,3,3,4,4,4,4,4,4,4,3,5,5,4,4,3,4,4,4,4,1,1,1,1,1
4,142,1,226,1,3,0,1.0,4.0,3.0,8,5,12,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,2,4,4,4,4,2,2,2,1,1,1,1,1
2,114,2,484,1,3,0,1.0,3.0,3.0,0,2,6,2,2,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,2,4,4,3,3,4,4,4,5,4,4,3,4,5,2,3,4,4,4,4,2,4,4,4,4,1,1,1,1,1
3,137,2,469,1,3,1,2.0,4.0,4.0,2,5,25,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,5,4,4,5,4,4,4,2,4,4,4,5,4,4,4,4,4,4,4,4,2,4,4,4,4,3,2,2,1,1,1,1,1
3,107,1,512,1,3,0,1.0,3.0,3.0,8,2,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,4,3,3,4,4,4,5,5,4,4,3,3,4,4,3,5,4,4,4,5,3,4,4,4,3,4,3,3,3,1,1,1,1,1
2,120,3,514,1,4,1,2.0,3.0,3.0,0,5,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,1,1,1,1,1
2,55,2,584,1,2,1,1.0,3.0,3.0,7,2,25,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,3,3,3,4,4,4,3,4,2,4,4,4,4,4,3,2,4,3,4,4,2,2,1,1,1,1,1,1
3,121,2,488,1,4,1,1.0,3.0,3.0,2,5,16,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,3,4,3,3,4,4,5,5,5,4,5,4,5,4,2,4,4,4,4,4,3,4,4,4,4,1,1,1,1,1
3,143,1,236,1,3,0,1.0,4.0,3.0,8,8,0,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,4,4,4,4,4,3,4,3,5,3,5,4,4,4,4,4,4,4,4,2,4,3,1,1,1,1,1
4,55,1,8,1,3,1,1.0,4.0,3.0,8,5,25,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,3,4,3,4,3,4,4,3,3,4,5,4,4,4,4,2,4,3,4,4,2,1,1,1,1,1,1,1
3,20,1,168,1,2,1,1.0,2.0,2.0,8,5,7,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,3,3,4,4,3,3,3,3,4,3,3,3,3,4,3,3,4,4,5,3,4,4,2,3,3,4,4,4,4,1,1,1,1,1
2,121,2,623,1,2,1,1.0,3.0,2.0,8,5,1,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,2,2,4,4,2,3,2,2,3,4,4,4,4,4,3,3,5,3,4,2,4,4,2,3,2,4,4,4,4,1,1,1,1,1
3,69,1,302,1,3,1,1.0,3.0,3.0,2,5,11,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,4,4,4,4,3,4,4,4,3,4,5,5,5,4,4,4,5,4,4,4,4,2,4,4,4,4,2,1,1,1,1,1,1,1
1,6,3,619,1,3,0,1.0,4.0,3.0,6,5,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,3,4,3,2,4,4,4,4,4,4,4,3,4,4,4,3,4,4,3,4,3,4,4,4,4,1,1,1,1,1
3,20,2,49,1,3,1,1.0,3.0,3.0,8,2,21,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,3,3,3,3,3,4,4,4,4,4,4,4,2,4,4,5,5,5,4,4,4,4,4,4,4,4,3,4,4,4,4,3,3,2,1,1,1,1,1
2,6,2,462,1,2,1,1.0,4.0,3.0,2,5,25,2,2,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,3,3,3,3,3,3,2,2,2,3,2,4,4,4,3,4,3,2,3,4,5,5,5,4,5,4,4,4,4,3,2,1,4,4,4,4,2,2,1,1,1,1,1,1
3,107,1,621,1,3,1,1.0,3.0,3.0,2,5,13,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,3,4,5,4,4,4,5,4,5,4,3,4,4,2,4,4,3,4,2,2,2,1,1,1,1,1
1,59,2,223,1,2,1,1.0,3.0,3.0,8,5,21,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,3,3,3,3,3,3,2,2,2,3,3,3,3,4,3,4,2,2,2,4,5,5,4,4,4,3,4,4,4,3,3,2,4,3,3,3,2,1,1,1,1,1,1,1
3,40,1,125,1,2,1,1.0,4.0,3.0,7,8,22,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,3,3,3,3,3,3,3,3,3,3,4,4,4,4,3,4,2,3,3,4,4,4,4,4,3,4,4,4,5,3,4,2,4,3,3,4,1,2,1,1,1,1,1,1
4,121,1,624,1,3,1,2.0,3.0,3.0,2,5,4,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,3,4,4,4,4,3,3,2,1,1,1,1,1
2,137,1,209,1,2,0,1.0,3.0,2.0,6,5,6,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,2,4,4,2,3,3,3,3,4,4,4,4,4,3,3,4,4,4,3,4,4,3,3,3,3,4,4,4,1,1,1,1,1
5,118,1,511,1,3,1,3.0,4.0,4.0,7,5,25,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,2,2,4,4,3,4,4,3,4,4,4,2,5,4,5,5,2,2,2,1,1,1,1,1
3,137,2,56,1,3,1,2.0,3.0,3.0,8,2,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,5,4,4,4,2,3,4,4,2,2,3,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,1,1,1,1,1
1,46,3,292,1,3,0,1.0,3.0,3.0,0,2,6,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,5,5,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1
3,41,3,530,1,3,1,3.0,3.0,2.0,3,5,17,4,4,4,4,4,3,3,3,3,3,3,3,3,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,3,5,4,2,3,3,4,4,4,3,4,2,4,3,4,4,4,4,3,4,4,2,3,4,4,5,5,4,1,1,1,1,1
4,54,2,137,1,4,1,2.0,4.0,3.0,0,2,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,5,4,5,5,4,4,5,4,4,4,4,4,4,4,4,1,1,1,1,1
3,13,2,328,1,4,1,2.0,4.0,3.0,2,8,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,3,4,3,4,3,5,4,4,5,4,4,4,4,5,4,4,3,4,4,1,1,1,1,1
4,35,1,190,1,2,1,1.0,3.0,2.0,7,8,25,5,5,4,4,4,3,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,3,3,3,2,2,4,4,2,3,3,2,2,2,4,4,4,3,3,3,4,4,3,5,4,4,2,4,3,3,4,2,1,1,1,1,1,1,1
3,130,1,18,1,2,0,1.0,3.0,3.0,1,5,25,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,4,3,2,2,4,4,4,4,4,3,4,4,4,5,4,3,2,4,3,4,4,2,2,1,1,1,1,1,1
3,153,1,342,1,2,1,1.0,3.0,3.0,0,5,25,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,3,3,3,4,4,4,3,4,3,4,4,4,4,4,3,3,4,3,3,4,2,2,2,1,1,1,1,1
2,80,1,341,1,4,1,1.0,4.0,3.0,8,2,19,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,4,4,4,4,4,4,4,5,4,5,4,5,4,4,4,3,4,3,4,4,4,4,4,4,4,3,1,1,1,1,1
1,46,3,452,1,2,1,1.0,4.0,3.0,2,5,25,4,2,4,4,4,3,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,3,3,3,3,3,3,2,4,4,3,3,4,3,2,2,4,4,4,4,3,4,4,4,4,4,3,4,2,4,3,4,3,2,1,1,1,1,1,1,1
4,41,1,131,1,3,1,1.0,3.0,3.0,0,2,25,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,3,3,4,5,5,5,4,4,4,4,4,3,4,4,2,4,4,4,4,2,2,2,1,1,1,1,1
3,77,1,514,1,2,0,1.0,2.0,2.0,8,2,6,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,2,4,4,2,3,3,2,3,4,4,4,4,4,3,4,4,4,4,2,4,4,3,2,3,3,4,4,4,1,1,1,1,1
2,13,2,230,1,4,1,1.0,5.0,4.0,2,5,13,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,5,4,2,4,4,4,4,4,3,4,5,5,5,4,5,4,4,4,3,4,4,3,4,3,3,4,4,3,3,1,1,1,1,1
3,124,1,100,1,2,1,1.0,2.0,2.0,5,5,7,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,2,2,4,3,2,3,2,2,3,3,3,3,3,4,3,3,4,4,4,2,4,4,3,3,2,4,4,4,4,1,1,1,1,1
4,55,1,474,1,2,1,1.0,3.0,2.0,2,8,7,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,2,2,4,4,2,2,3,4,3,3,2,2,2,4,3,5,4,5,5,4,4,4,3,3,3,4,4,4,4,1,1,1,1,1
2,55,3,561,1,3,1,1.0,3.0,2.0,6,5,7,4,3,3,3,3,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,2,4,3,3,3,4,4,4,4,4,4,3,5,4,4,3,4,4,3,3,3,4,4,4,4,1,1,1,1,1
3,59,1,3,1,3,0,1.0,3.0,2.0,2,5,7,4,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,3,3,4,4,2,3,3,3,3,4,4,4,4,4,4,4,4,4,4,3,4,4,3,2,2,4,4,4,4,1,1,1,1,1
2,30,2,280,1,3,1,1.0,3.0,3.0,8,5,16,3,3,3,3,3,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,2,4,3,2,3,4,4,4,4,4,4,4,3,4,3,4,3,4,3,3,2,4,4,4,4,1,1,1,1,1
2,18,2,564,1,4,1,1.0,3.0,3.0,0,2,8,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,1,1,1,1,1
3,35,1,190,1,2,1,1.0,3.0,3.0,1,2,11,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,4,4,3,4,3,4,3,3,4,4,4,4,4,4,4,4,3,4,3,3,2,2,4,4,3,4,2,2,2,1,1,1,1,1
2,112,3,566,1,4,1,1.0,4.0,3.0,0,5,18,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,5,4,5,4,4,5,5,4,4,3,4,4,4,4,4,4,4,4,4,1,1,1,1,1
3,117,1,405,1,3,1,1.0,3.0,3.0,8,2,16,2,3,3,3,3,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,4,2,4,4,3,4,4,5,4,4,4,4,4,5,4,4,3,4,4,3,3,3,4,4,4,4,1,1,1,1,1
4,59,1,613,1,4,1,1.0,4.0,3.0,0,5,9,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,1,1,1,1,1
3,41,2,380,1,4,1,2.0,4.0,4.0,6,5,25,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,5,4,4,4,4,2,4,4,4,4,2,2,2,1,1,1,1,1
3,20,2,551,1,2,1,1.0,3.0,2.0,8,5,17,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,3,2,4,4,3,3,2,2,4,3,4,4,3,4,3,3,3,3,5,3,5,4,2,3,3,4,5,4,4,1,1,1,1,1
3,6,1,146,1,3,1,1.0,2.0,2.0,8,5,16,3,3,3,3,3,4,3,3,3,4,3,3,3,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,2,3,3,2,4,3,3,3,4,4,5,4,4,4,3,4,5,4,3,4,4,3,3,4,4,4,4,4,1,1,1,1,1
1,6,3,518,1,3,1,1.0,3.0,2.0,8,5,16,2,2,3,3,3,4,3,3,3,4,3,3,3,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,3,4,3,3,3,4,4,4,4,4,4,3,4,4,4,3,3,4,3,3,3,3,4,4,4,1,1,1,1,1
3,18,2,574,1,2,1,2.0,3.0,2.0,8,5,7,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,2,2,4,4,3,2,2,2,3,3,3,4,3,4,4,3,4,4,5,3,5,4,2,3,2,4,4,4,4,1,1,1,1,1
3,113,1,465,1,3,1,1.0,4.0,3.0,6,2,25,5,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,5,4,4,4,5,1,4,4,4,4,2,2,2,1,1,1,1,1
3,46,1,380,1,3,1,1.0,3.0,3.0,3,5,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,1,1,1,1,1
2,78,2,594,1,4,1,1.0,3.0,3.0,0,2,18,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,5,4,4,4,4,4,5,3,4,5,4,4,4,3,4,4,4,4,1,1,1,1,1
4,84,1,538,1,3,1,2.0,2.0,3.0,2,5,25,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,3,3,4,3,4,4,4,4,4,4,4,4,4,5,2,4,4,4,4,2,3,2,1,1,1,1,1
1,104,1,251,1,3,1,1.0,4.0,4.0,8,2,13,3,2,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,4,3,2,4,3,4,4,3,3,4,5,4,4,3,4,4,3,4,3,4,3,2,3,4,3,4,2,3,2,1,1,1,1,1
2,77,2,514,1,3,1,2.0,3.0,3.0,7,5,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,2,2,2,3,4,4,3,4,4,4,4,4,3,4,5,5,5,4,5,4,2,4,3,4,2,1,4,4,3,4,2,1,1,1,1,1,1,1
2,6,2,267,1,3,1,1.0,3.0,2.0,5,5,2,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,3,4,4,4,4,1,1,1,1,1
3,137,3,56,1,4,1,2.0,3.0,4.0,2,2,23,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,5,4,3,5,4,5,5,5,5,5,4,4,5,4,4,4,4,4,3,4,4,3,4,5,3,4,3,2,2,1,1,1,1,1
2,78,2,69,1,3,0,1.0,3.0,3.0,2,5,22,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,2,2,2,3,4,4,3,4,4,4,3,3,3,4,5,5,5,4,5,4,3,4,2,4,2,2,4,4,3,4,2,2,2,1,1,1,1,1
1,120,3,357,1,2,0,1.0,3.0,3.0,8,2,0,3,1,3,3,3,4,4,4,4,4,4,4,4,4,3,3,3,4,3,3,3,3,3,3,2,2,2,3,4,3,2,4,3,4,4,4,3,4,5,4,5,3,5,4,3,3,2,4,2,2,3,4,3,4,2,2,2,1,1,1,1,1
2,142,1,630,1,3,0,1.0,3.0,3.0,8,5,11,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,4,3,2,4,4,4,4,4,3,4,4,5,4,4,5,4,3,4,4,4,4,2,4,4,3,4,2,3,3,1,1,1,1,1
4,29,1,312,1,3,1,1.0,3.0,2.0,6,5,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,4,3,3,4,3,4,4,3,3,4,4,4,4,4,4,4,4,5,4,4,4,3,4,4,4,4,1,1,1,1,1
3,20,2,418,1,4,1,2.0,3.0,4.0,2,5,16,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,3,4,4,5,4,4,4,5,4,5,5,4,4,5,4,4,4,3,4,4,4,4,1,1,1,1,1
1,151,3,475,1,3,1,1.0,4.0,3.0,8,2,25,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,5,4,4,4,4,3,2,4,3,4,4,2,2,2,1,1,1,1,1
3,20,1,62,1,3,1,1.0,3.0,3.0,8,5,16,2,2,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,2,3,4,2,4,3,3,3,4,5,5,5,4,4,3,4,4,3,2,4,4,3,3,3,4,4,4,4,1,1,1,1,1
4,55,1,141,1,3,1,3.0,4.0,3.0,7,2,25,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,4,4,3,4,4,5,4,4,3,4,4,4,4,4,4,4,4,3,4,4,3,2,4,4,5,4,3,1,1,1,1,1,1,1
3,20,1,88,1,3,0,1.0,3.0,2.0,2,2,19,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,5,4,4,4,5,4,3,4,4,4,4,3,5,4,4,4,1,1,1,1,1
